"rank","Name","Country","Population","Prev","Growth"
"158","Lisbon","Portugal","2971587","2956879","0.0050"
"159","Caracas","Venezuela","2945858","2938992","0.0023"
"160","Zhongshan","China","2941522","2913974","0.0095"
"161","Nagpur","India","2940487","2893455","0.0163"
"162","Shizuoka","Japan","2930341","2922320","0.0027"
"163","Dubai","United Arab Emirates","2921376","2878344","0.0150"
"164","Ouagadougou","Burkina Faso","2914619","2780331","0.0483"
"165","Lusaka","Zambia","2905993","2774133","0.0475"
"166","Coimbatore","India","2860445","2786600","0.0265"
"167","Port-au-Prince","Haiti","2843925","2773553","0.0254"
"168","Depok","Indonesia","2836941","2727209","0.0402"
"169","Handan","China","2824345","2726835","0.0358"
"170","Incheon","South Korea","2818288","2801039","0.0062"
"171","Cali","Colombia","2809508","2781980","0.0099"
"172","Algiers","Algeria","2809158","2767661","0.0150"
"173","Huaian","China","2770106","2655320","0.0432"
"174","Manchester","United Kingdom","2750120","2730076","0.0073"
"175","Goiania","Brazil","2747887","2690011","0.0215"
"176","Weifang","China","2746160","2653989","0.0347"
"177","Taibei","Taiwan","2731208","2721485","0.0036"
"178","Bamako","Mali","2713230","2617686","0.0365"
"179","Thiruvananthapuram","India","2690703","2584752","0.0410"
"180","Zibo","China","2685108","2639735","0.0172"
"181","Chicago","United States","2679080","2686530","-0.0028"
"182","Sapporo","Japan","2670121","2669680","0.0002"
"183","Pretoria","South Africa","2655282","2565660","0.0349"
"184","Mbuji-Mayi","DR Congo","2642794","2525263","0.0465"
"185","Shaoxing","China","2633145","2540018","0.0367"
"186","Birmingham","United Kingdom","2626374","2607437","0.0073"
"187","Yantai","China","2609465","2526702","0.0328"
"188","Bandung","Indonesia","2606850","2580191","0.0103"
"189","Vancouver","Canada","2606351","2581079","0.0098"
"190","Huizhou","China","2605871","2524543","0.0322"
"191","Lubumbashi","DR Congo","2584133","2478262","0.0427"
"192","Accra","Ghana","2556972","2514005","0.0171"
"193","Tashkent","Uzbekistan","2545159","2517381","0.0110"
"194","Toluca de Lerdo","Mexico","2522407","2467241","0.0224"
"195","Patna","India","2481530","2436447","0.0185"
"196","Brazzaville","Republic of the Congo","2469630","2388090","0.0341"
"197","Luoyang","China","2461883","2387094","0.0313"
"198","Bhopal","India","2446882","2389547","0.0240"
"199","San Juan","Puerto Rico","2445462","2448417","-0.0012"
"200","Damascus","Syria","2439814","2392045","0.0200"
"201","Brisbane","Australia","2439467","2406182","0.0138"
"202","Beirut","Lebanon","2434609","2424425","0.0042"
"203","Tunis","Tunisia","2402680","2365201","0.0158"
"204","Tangerang","Indonesia","2397447","2338547","0.0252"
"205","Mogadishu","Somalia","2387920","2282009","0.0464"
"206","Baku","Azerbaijan","2370776","2341443","0.0125"
"207","Medan","Indonesia","2368348","2337958","0.0130"
"208","Belem","Brazil","2360474","2334462","0.0111"
"209","Nantong","China","2351145","2275777","0.0331"
"210","Sendai","Japan","2334959","2327417","0.0032"
"211","Houston","United States","2323660","2321960","0.0007"
"212","Manaus","Brazil","2302374","2260788","0.0184"
"213","Barranquilla","Colombia","2299186","2272914","0.0116"
"214","Maracaibo","Venezuela","2296118","2257999","0.0169"
"215","Gujranwala","Pakistan","2290461","2229220","0.0275"
"216","Rawalpindi","Pakistan","2280733","2236905","0.0196"
"217","Peshawar","Pakistan","2272812","2202946","0.0317"
"218","Taoyuan","Taiwan","2271507","2245162","0.0117"
"219","Agra","India","2261561","2210246","0.0232"
"220","Hohhot","China","2239344","2163394","0.0351"
"221","Baotou","China","2238823","2190495","0.0221"
"222","Vadodara","India","2232521","2189973","0.0194"
"223","Kannur","India","2226693","2166906","0.0276"
"224","Liuzhou","China","2226508","2165257","0.0283"
"225","Visakhapatnam","India","2225906","2174968","0.0234"
"226","Xuzhou","China","2193219","2145970","0.0220"
"227","Daegu","South Korea","2190571","2198962","-0.0038"
"228","Naples","Italy","2182885","2186853","-0.0018"
"229","Amman","Jordan","2182151","2148293","0.0158"
"230","Tijuana","Mexico","2181104","2140398","0.0190"
"231","Esfahan","Iran","2176927","2132037","0.0211"
"232","Phnom Penh","Cambodia","2143591","2077757","0.0317"
"233","Havana","Cuba","2142866","2140423","0.0011"
"234","Nashik","India","2123018","2065728","0.0277"
"235","Grande Vitoria","Brazil","2109869","2075857","0.0164"
