"rank","Name","Country","Population","Prev","Growth"
"509","Bujumbura","Burundi","1074642","1012996","0.0609"
"510","Jalandhar","India","1074383","1053670","0.0197"
"511","Managua","Nicaragua","1072852","1063698","0.0086"
"512","Voronezh","Russia","1072807","1067719","0.0048"
"513","Cartagena","Colombia","1070692","1062622","0.0076"
"514","Wenling","China","1069840","1037164","0.0315"
"515","Lille","France","1068051","1063085","0.0047"
"516","Fuyang","China","1065192","1036162","0.0280"
"517","Bishkek","Kyrgyzstan","1060113","1038429","0.0209"
"518","Diyarbakir","Turkey","1059686","1039492","0.0194"
"519","Bazhong","China","1057600","991820","0.0663"
"520","Siliguri","India","1056551","1020303","0.0355"
"521","Oslo","Norway","1056180","1041377","0.0142"
"522","Shangrao","China","1055178","1028518","0.0259"
"523","Changwon","South Korea","1054775","1055974","-0.0011"
"524","Jingzhou Hubei","China","1054743","1038296","0.0158"
"525","Ma'anshan","China","1051771","1019389","0.0318"
"526","Zhaoqing","China","1050908","1023777","0.0265"
"527","Antwerp","Belgium","1047613","1042471","0.0049"
"528","Kermanshah","Iran","1046604","1025740","0.0203"
"529","Xiongan","China","1045719","969535","0.0786"
"530","Bien Hoa","Vietnam","1045708","1013064","0.0322"
"531","Johor Bahru","Malaysia","1044548","1023900","0.0202"
"532","Solapur","India","1041886","1031037","0.0105"
"533","Samarinda","Indonesia","1041183","1010413","0.0305"
"534","Toulouse","France","1037115","1024166","0.0126"
"535","Mersin","Turkey","1034693","1016019","0.0184"
"536","Hargeysa","Somalia","1033205","988716","0.0450"
"537","Teresina","Brazil","1031220","1021229","0.0098"
"538","Kirkuk","Iraq","1031082","1012614","0.0182"
"539","Fuzhou Jiangxi","China","1028734","989880","0.0393"
"540","Aracaju","Brazil","1026529","1009380","0.0170"
"541","Bobo-Dioulasso","Burkina Faso","1022118","972124","0.0514"
"542","Leshan","China","1022088","986923","0.0356"
"543","Yueyang","China","1021350","1009534","0.0117"
"544","Dezhou","China","1019111","986192","0.0334"
"545","Marrakech","Morocco","1017379","1002709","0.0146"
"546","Tampico","Mexico","1016514","1001278","0.0152"
"547","Huzhou","China","1015538","988351","0.0275"
"548","Rotterdam","Netherlands","1012007","1010026","0.0020"
"549","Aden","Yemen","1011890","980455","0.0321"
"550","Austin","United States","1011790","995347","0.0165"
"551","San Jose","United States","1009340","1015570","-0.0061"
"552","Denpasar","Indonesia","1008709","986853","0.0221"
"553","Odesa","Ukraine","1008508","1009289","-0.0008"
"554","Chenzhou","China","1004240","959881","0.0462"
"555","Xuchang","China","1001570","968135","0.0345"
"556","Volgograd","Russia","1000755","1004688","-0.0039"
"557","Saltillo","Mexico","1000750","983784","0.0172"
"558","San Miguel de Tucuman","Argentina","999907","985656","0.0145"
"559","Asmara","Eritrea","998321","962985","0.0367"
"560","Padang","Indonesia","997358","980455","0.0172"
"561","Cebu City","Philippines","993744","980070","0.0140"
"562","Acapulco de Juarez","Mexico","992205","979381","0.0131"
"563","Valparaiso","Chile","992183","983751","0.0086"
"564","Sekondi Takoradi","Ghana","990661","945519","0.0477"
"565","Ikorodu","Nigeria","989117","937615","0.0549"
"566","Kayseri","Turkey","986987","973506","0.0138"
"567","Warangal","India","983128","959658","0.0245"
"568","Changshu","China","981654","938683","0.0458"
"569","Bordeaux","France","980130","968993","0.0115"
"570","Songkhla","Thailand","979453","966597","0.0133"
"571","Qujing","China","976171","942342","0.0359"
"572","Nonthaburi","Thailand","975497","962694","0.0133"
"573","Yichun Jiangxi","China","975387","918051","0.0625"
"574","Krasnodar","Russia","974377","957214","0.0179"
"575","Ilorin","Nigeria","973671","949866","0.0251"
"576","Cancun","Mexico","971798","943922","0.0295"
"577","Tshikapa","DR Congo","970831","919192","0.0562"
"578","Nyala","Sudan","967430","922532","0.0487"
"579","Xintai","China","966759","936382","0.0324"
"580","Jixi Heilongjiang","China","963278","949646","0.0144"
"581","Blantyre-Limbe","Malawi","962145","932263","0.0321"
"582","Morelia","Mexico","961834","948793","0.0137"
"583","Pingxiang Jiangxi","China","953042","928895","0.0260"
"584","Dnipro","Ukraine","951821","957345","-0.0058"
"585","Khulna","Bangladesh","949229","953745","-0.0047"
"586","Jerusalem","Israel","944188","931756","0.0133"
"587","Cucuta","Colombia","943489","933380","0.0108"
"588","Nice","France","943342","942208","0.0012"
"589","Dehradun","India","943136","918946","0.0263"
"590","Seongnam","South Korea","942342","943768","-0.0015"
"591","Fort Worth","United States","942323","925954","0.0177"
"592","Agadir","Morocco","941839","923552","0.0198"
"593","Mudanjiang","China","941660","925522","0.0174"
"594","Hamah","Syria","939904","921502","0.0200"
"595","Dushanbe","Tajikistan","938444","915712","0.0248"
"596","Guiping","China","937152","891158","0.0516"
"597","Jiujiang","China","936927","913212","0.0260"
"598","Southampton","United Kingdom","935868","927916","0.0086"
"599","Laiwu","China","934916","907839","0.0298"
"600","Arequipa","Peru","934845","922999","0.0128"
"601","Ciudad Guayana","Venezuela","933968","917700","0.0177"
"602","Zamboanga City","Philippines","930610","917477","0.0143"
"603","Veracruz","Mexico","930387","918529","0.0129"
"604","Jacksonville","United States","929647","920577","0.0099"
"605","San Pedro Sula","Honduras","929191","902751","0.0293"
"606","Zhucheng","China","926596","891494","0.0394"
"607","Pathum Thani","Thailand","925893","913741","0.0133"
"608","Rajshahi","Bangladesh","924033","907732","0.0180"
"609","Chengde","China","920395","880494","0.0453"
"610","Misratah","Libya","918946","881319","0.0427"
"611","Guigang","China","917484","891173","0.0295"
"612","Jos","Nigeria","917289","895288","0.0246"
"613","Reynosa","Mexico","917021","899084","0.0200"
"614","Bengbu","China","915242","901773","0.0149"
"615","Columbus","United States","913921","906237","0.0085"
"616","Villahermosa","Mexico","913606","898461","0.0169"
"617","Yangjiang","China","912468","890013","0.0252"
"618","Charlotte","United States","912096","898902","0.0147"
"619","Ulsan","South Korea","910778","910330","0.0005"
"620","Bangui","Central African Republic","910270","889231","0.0237"
"621","Oran","Algeria","910030","899182","0.0121"
"622","West Rand","South Africa","909301","897609","0.0130"
"623","Owerri","Nigeria","908109","872604","0.0407"
"624","Campo Grande","Brazil","907028","896864","0.0113"
"625","Liverpool","United Kingdom","906443","901708","0.0053"
"626","Antipolo","Philippines","902993","881018","0.0249"
"627","Najaf","Iraq","901405","873744","0.0317"
"628","Zhangzhou","China","900904","871690","0.0335"
"629","Bergamo","Italy","900094","892089","0.0090"
"630","Donetsk","Ukraine","899325","905530","-0.0069"
"631","Tianmen","China","899094","869837","0.0336"
"632","Warri","Nigeria","898927","855941","0.0502"
"633","Londrina","Brazil","898681","885516","0.0149"
"634","Leiyang","China","896394","851071","0.0533"
"635","Malang","Indonesia","896009","886620","0.0106"
"636","La Plata","Argentina","894159","884054","0.0114"
"637","Concepcion","Chile","891744","880722","0.0125"
"638","Hengshui","China","891603","856705","0.0407"
"639","Linfen","China","891049","858103","0.0384"
"640","Xinyu","China","890884","857567","0.0389"
"641","Sylhet","Bangladesh","890180","851808","0.0450"
"642","Dandong","China","890031","877258","0.0146"
"643","Indianapolis","United States","887232","881808","0.0062"
"644","Nampula","Mozambique","887055","848096","0.0459"
"645","Deyang","China","885818","857306","0.0333"
"646","Hermosillo","Mexico","883916","867885","0.0185"
"647","San Francisco","United States","883255","882402","0.0010"
"648","Trujillo","Peru","877875","864633","0.0153"
"649","Taiz","Yemen","875941","845154","0.0364"
"650","Guntur","India","875474","854488","0.0246"
"651","Jiangyin","China","874924","843292","0.0375"
"652","Bhiwandi","India","874032","859435","0.0170"
"653","Lubango","Angola","870935","828248","0.0515"
"654","Liaoyang","China","870185","855663","0.0170"
"655","Bahawalpur","Pakistan","869548","844673","0.0294"
"656","Changzhi","China","868308","846365","0.0259"
"657","Tyumen","Russia","866741","843196","0.0279"
"658","Soshanguve","South Africa","866005","853347","0.0148"
"659","Tuxtla Gutierrez","Mexico","865000","847924","0.0201"
"660","Ashgabat","Turkmenistan","864695","846255","0.0218"
"661","Erbil","Iraq","861158","846374","0.0175"
"662","Baishan","China","859381","821967","0.0455"
"663","Liling","China","857167","812975","0.0544"
"664","Tainan","Taiwan","856736","849996","0.0079"
"665","Puducherry","India","856354","836003","0.0243"
"666","Culiacan","Mexico","856072","839054","0.0203"
"667","Changde","China","853497","830010","0.0283"
"668","Fuxin","China","850647","839189","0.0137"
"669","Palermo","Italy","850179","851146","-0.0011"
"670","Shangqiu","China","850165","826598","0.0285"
"671","Xingtai","China","849674","831175","0.0223"
"672","Hufuf-Mubarraz","Saudi Arabia","848479","836727","0.0140"
"673","Firozabad","India","845746","821043","0.0301"
"674","Libreville","Gabon","845100","834204","0.0131"
"675","Huangshi","China","844307","828324","0.0193"
"676","Saratov","Russia","840883","842680","-0.0021"
"677","Banghazi","Libya","836031","823974","0.0146"
"678","Valencia","Spain","835341","833724","0.0019"
"679","Luzhou","China","833637","822996","0.0129"
"680","Quebec City","Canada","831776","826109","0.0069"
"681","Yibin","China","831013","814166","0.0207"
"682","Bucheon","South Korea","829592","832093","-0.0030"
"683","Ipoh","Malaysia","827719","813553","0.0174"
"684","Winnipeg","Canada","824771","816593","0.0100"
"685","Bogra","Bangladesh","820297","775034","0.0584"
"686","Cabinda","Angola","819452","777697","0.0537"
"687","Umuahia","Nigeria","816983","773822","0.0558"
"688","Xinyang","China","816967","797369","0.0246"
"689","Xinghua","China","815780","791297","0.0309"
"690","Newcastle upon Tyne","United Kingdom","813807","809481","0.0053"
"691","Yangquan","China","813696","794262","0.0245"
"692","Thessaloniki","Greece","812964","812166","0.0010"
"693","Yongzhou","China","809415","781940","0.0351"
"694","Bologna","Italy","808931","805986","0.0037"
"695","Orumiyeh","Iran","808149","793044","0.0190"
"696","Xiaogan","China","806258","783483","0.0291"
"697","Heze","China","804759","795246","0.0120"
"698","Barcelona-Puerto La Cruz","Venezuela","804488","793641","0.0137"
"699","Maiduguri","Nigeria","802988","786485","0.0210"
"700","Kuerle","China","801993","761329","0.0534"
"701","Niigata","Japan","801982","804298","-0.0029"
"702","Eskisehir","Turkey","801612","783669","0.0229"
"703","Cherthala","India","801264","764135","0.0486"
"704","Quzhou","China","798191","757655","0.0535"
"705","Zhuji","China","796974","777536","0.0250"
"706","Sorocaba","Brazil","795569","785997","0.0122"
"707","Haicheng","China","795424","783484","0.0152"
"708","Enugu","Nigeria","795271","772872","0.0290"
"709","Nottingham","United Kingdom","794008","787610","0.0081"
"710","Tianshui","China","790461","765372","0.0328"
"711","Huludao","China","790403","775322","0.0195"
"712","Xalapa","Mexico","787349","775620","0.0151"
"713","Bikaner","India","786652","771878","0.0191"
"714","Frankfurt","Germany","784780","777156","0.0098"
"715","Huaihua","China","784323","751803","0.0433"
"716","Nakhon Ratchasima","Thailand","783180","774022","0.0118"
"717","Vereeniging","South Africa","779530","774031","0.0071"
"718","Liaocheng","China","778562","760885","0.0232"
"719","Seattle","United States","776555","765115","0.0150"
"720","Jiaozuo","China","775685","766770","0.0116"
"721","Bozhou","China","773217","742150","0.0419"
"722","Nellore","India","772941","751034","0.0292"
"723","Hamilton","Canada","770976","766688","0.0056"
"724","Gebze","Turkey","769633","744674","0.0335"
"726","Taixing","China","769620","747588","0.0295"
"725","Cagayan de Oro City","Philippines","769620","753138","0.0219"
"727","Krakow","Poland","769307","768731","0.0007"
"728","Kunshan","China","769021","737654","0.0425"
"729","Shaoguan","China","767557","761249","0.0083"
"730","Gorakhpur","India","766646","758214","0.0111"
"731","Dasmarinas","Philippines","765742","747208","0.0248"
"732","Amravati","India","764645","752189","0.0166"
"733","Jincheng","China","763554","733879","0.0404"
"734","Langfang","China","763320","739632","0.0320"
"735","Ansan","South Korea","762698","760764","0.0025"
"736","Ar-Rayyan","Qatar","759174","737903","0.0288"
"737","Sulaimaniya","Iraq","758795","739182","0.0265"
"738","Cuttack","India","751859","742011","0.0133"
"739","Bur Sa'id","Egypt","750373","737000","0.0181"
"740","Denver","United States","749103","738157","0.0148"
"741","Meishan","China","748981","723267","0.0356"
"742","Zhumadian","China","747329","716002","0.0438"
"743","Zigong","China","746711","737291","0.0128"
"744","Benguela","Angola","745372","715130","0.0423"
"745","Gaomi","China","745055","716261","0.0402"
"746","Anqing","China","744768","726950","0.0245"
"747","Qingyuan","China","744726","734856","0.0134"
"748","Banjarmasin","Indonesia","744334","732005","0.0168"
"749","Hanchuan","China","743610","715218","0.0397"
"750","Danyang","China","743482","718649","0.0346"
"751","Muzaffarnagar","India","742227","716748","0.0355"
"752","Lokoja","Nigeria","741482","692050","0.0714"
"753","Kumamoto","Japan","741455","742612","-0.0016"
"754","Kottayam","India","739212","696061","0.0620"
"755","Belgaum","India","738074","724747","0.0184"
"756","Zarqa","Jordan","737085","729220","0.0108"
"757","Zaria","Nigeria","736098","726172","0.0137"
"758","Sheffield","United Kingdom","735292","730158","0.0070"
"759","Zanzibar","Tanzania","734832","705078","0.0422"
"760","Gaza","Palestine","734547","713621","0.0293"
"761","Zaragoza","Spain","733825","730828","0.0041"
"762","Linhai","China","732334","708981","0.0329"
"763","Zaporizhzhya","Ukraine","731984","736167","-0.0057"
"764","Malegaon","India","731493","715605","0.0222"
"765","Sao Jose dos Campos","Brazil","731481","721795","0.0134"
"766","Oshogbo","Nigeria","730529","713677","0.0236"
"767","Erduosi-Ordoss","China","730229","706657","0.0334"
"768","Shaoyang","China","729522","713559","0.0224"
"769","Kayamkulam","India","726675","694892","0.0457"
"770","Jiamusi","China","726622","715965","0.0149"
"771","Mangalore","India","724159","713357","0.0151"
"772","Okayama","Japan","724157","724696","-0.0007"
"773","Ribeirao Preto","Brazil","724044","714111","0.0139"
"774","Xianyang Shaanxi","China","723612","715007","0.0120"
"775","Bunia","DR Congo","723276","679418","0.0646"
"776","Lviv","Ukraine","722476","723758","-0.0018"
"777","Rasht","Iran","722026","712715","0.0131"
"778","Anqiu","China","721402","682299","0.0573"
"779","Tongliao","China","720662","702280","0.0262"
"780","Cheongju","South Korea","720584","717027","0.0050"
"781","Sialkot","Pakistan","720439","705121","0.0217"
"782","Maturin","Venezuela","717788","694716","0.0332"
"783","Buffalo City","South Africa","717067","708559","0.0120"
"784","Panzhihua","China","716878","707134","0.0138"
"785","Suining Sichuan","China","716754","699679","0.0244"
"786","Yanji","China","716660","695165","0.0309"
"787","Tongling","China","715946","696639","0.0277"
"788","Wuzhou","China","715472","696630","0.0270"
"789","Oaxaca de Juarez","Mexico","714983","704559","0.0148"
"790","Washington","United States","714153","709951","0.0059"
"791","Sargodha","Pakistan","712961","700095","0.0184"
"792","Bhavnagar","India","711625","700367","0.0161"
"793","Gold Coast","Australia","710650","699226","0.0163"
"794","Yan'an","China","710029","678619","0.0463"
"795","Kitwe","Zambia","709854","685908","0.0349"
"796","Florence","Italy","709064","708357","0.0010"
"797","Jammu","India","708612","702085","0.0093"
"798","Yulin Shaanxi","China","706571","695614","0.0158"
"799","Nanded Waghala","India","705667","689771","0.0230"
"800","Dazhou","China","705321","682342","0.0337"
"801","Tirupati","India","704615","679456","0.0370"
"802","Bacoor","Philippines","704334","686398","0.0261"
"803","Malanje","Angola","704271","665150","0.0588"
"804","Dengzhou","China","703922","673626","0.0450"
"805","The Hague","Netherlands","703588","697564","0.0086"
"806","Longyan","China","703524","691987","0.0167"
"807","Yuncheng","China","703194","675082","0.0416"
"808","Seville","Spain","702386","703790","-0.0020"
"809","Cotonou","Benin","698868","691949","0.0100"
"810","Dongtai","China","698218","676996","0.0313"
"811","Tolyatti","Russia","696889","700252","-0.0048"
"812","Salta","Argentina","696715","684751","0.0175"
"813","Merca","Somalia","696510","666370","0.0452"
"814","Bali","Indonesia","695940","682065","0.0203"
"815","Yuyao","China","695704","678841","0.0248"
"816","Boston","United States","695506","694053","0.0021"
"817","Uberlandia","Brazil","695461","686896","0.0125"
"818","Taif","Saudi Arabia","694894","688693","0.0090"
"819","Yuxi","China","693811","662863","0.0467"
"820","Vientiane","Laos","693594","682542","0.0162"
"821","Bristol","United Kingdom","693552","686210","0.0107"
"822","Akure","Nigeria","690533","665524","0.0376"
"823","Ibb","Yemen","690456","648889","0.0641"
"824","Celaya","Mexico","689735","680971","0.0129"
"825","Al-Hudaydah","Yemen","689640","668899","0.0310"
"826","Cheonan","South Korea","688543","679802","0.0129"
"827","Jundiai","Brazil","688192","678521","0.0143"
"828","Gulbarga","India","687882","673027","0.0221"
"829","Huambo","Angola","687795","671413","0.0244"
"830","Padova","Italy","687698","683604","0.0060"
"831","Durgapur","India","686568","675384","0.0166"
"832","Kurnool","India","685818","665186","0.0310"
"833","El Paso","United States","685434","683581","0.0027"
"834","Nantes","France","685377","677766","0.0112"
"835","Buraydah","Saudi Arabia","684626","668775","0.0237"
"836","Zagreb","Croatia","684524","684878","-0.0005"
"837","Zhangjiagang","China","683500","656036","0.0419"
"838","Pontianak","Indonesia","680655","667910","0.0191"
"839","Amara","Iraq","680156","655663","0.0374"
"840","Liege","Belgium","679895","677589","0.0034"
"841","Taicang","China","679623","654441","0.0385"
"842","Nashville","United States","678448","674634","0.0057"
"843","Genoa","Italy","677222","679613","-0.0035"
"844","Ezhou","China","676600","668405","0.0123"
"845","Santiago","Dominican Republic","672272","664575","0.0116"
"846","Mar Del Plata","Argentina","672116","665707","0.0096"
"847","Tamale","Ghana","671812","641911","0.0466"
"848","Zhoukou","China","671419","650060","0.0329"
"849","Lodz","Poland","671395","676830","-0.0080"
"850","Goma","DR Congo","670218","634197","0.0568"
"851","Oklahoma City","United States","669347","662202","0.0108"
"852","Lattakia","Syria","668809","655714","0.0200"
"853","Las Vegas","United States","667501","659410","0.0123"
"854","Tabuk","Saudi Arabia","667155","657277","0.0150"
"855","Ankang","China","666656","636293","0.0477"
"856","General Santos City","Philippines","665418","652723","0.0194"
"857","Renqiu","China","664262","640271","0.0375"
"858","Detroit","United States","664139","667085","-0.0044"
"859","Manama","Bahrain","663893","634508","0.0463"
"860","Loudi","China","663765","639167","0.0385"
"861","Jeonju","South Korea","663607","663145","0.0007"
"862","Bijie","China","662697","637795","0.0390"
"863","Portland","United States","662549","658645","0.0059"
"864","Sokoto","Nigeria","662173","641249","0.0326"
"865","Qinzhou","China","661953","644359","0.0273"
"866","Macao","Macau","661838","651875","0.0153"
"867","Samsun","Turkey","660863","642592","0.0284"
"868","Denizli","Turkey","660643","644782","0.0246"
"869","Zhoushan","China","659777","647419","0.0191"
"870","Busto Arsizio","Italy","657698","654258","0.0053"
"871","Tongxiang","China","656136","629527","0.0423"
"872","Longhai","China","655081","631203","0.0378"
"873","Puyang","China","654261","632347","0.0347"
"874","Hezhou","China","654185","625304","0.0462"
"875","Jhansi","India","653879","642709","0.0174"
"876","Neijiang","China","653866","645874","0.0124"
"877","Izhevsk","Russia","651601","651338","0.0004"
"878","Memphis","United States","651011","651042","-0.0000"
"879","Jamnagar","India","650977","644738","0.0097"
"880","As-Suways","Egypt","649368","638229","0.0175"
"881","Erode","India","647988","634977","0.0205"
"882","Doha","Qatar","646177","641380","0.0075"
"883","Pachuca de Soto","Mexico","646101","633453","0.0200"
"884","Haimen","China","645598","626067","0.0312"
"885","Chongjin","North Korea","645488","642447","0.0047"
"886","Chiclayo","Peru","645366","637255","0.0127"
"887","Wuhai","China","644895","630295","0.0232"
"888","Hegang","China","644894","638855","0.0095"
"889","Sanya","China","644727","625290","0.0311"
"890","Be'er Sheva","Israel","644278","637539","0.0106"
"891","Durango","Mexico","642750","630982","0.0187"
"892","Bokaro Steel City","India","642145","633551","0.0136"
"893","Wroclaw","Poland","642085","641401","0.0011"
"894","Irkutsk","Russia","641504","638843","0.0042"
"895","Barnaul","Russia","640396","639783","0.0010"
"896","Nay Pyi Taw","Myanmar","639759","593596","0.0778"
"897","Bulawayo","Zimbabwe","639722","638188","0.0024"
"898","Miluo","China","639015","604159","0.0577"
"899","Venezia","Italy","638264","637245","0.0016"
"900","Jambi","Indonesia","637037","626192","0.0173"
"901","Safaqis","Tunisia","636613","630175","0.0102"
"902","Khabarovsk","Russia","636254","633151","0.0049"
"903","Herat","Afghanistan","635579","605575","0.0495"
"904","Duesseldorf","Germany","635046","631942","0.0049"
"905","Belfast","United Kingdom","634594","630632","0.0063"
"906","Nasiriyah","Iraq","634492","616994","0.0284"
"907","Stuttgart","Germany","633808","632692","0.0018"
"908","Verona","Italy","633128","629658","0.0055"
"909","Raurkela","India","631310","622636","0.0139"
"910","Jubayl","Saudi Arabia","631060","605743","0.0418"
"911","Riga","Latvia","627763","630692","-0.0046"
"912","Bandar Abbas","Iran","627174","606633","0.0339"
"913","Kolhapur","India","626791","619358","0.0120"
"914","Bacolod","Philippines","624783","613437","0.0185"
"915","Seregno","Italy","624706","619871","0.0078"
"916","Ulyanovsk","Russia","624103","624896","-0.0013"
"917","Uvira","DR Congo","622862","589731","0.0562"
"918","Al-Ain","United Arab Emirates","622675","610887","0.0193"
"919","Bari","Italy","622590","622377","0.0003"
"920","Yulin Guangxi","China","622115","613668","0.0138"
"921","Ajmer","India","621505","613617","0.0129"
"922","Kuching","Malaysia","621114","611566","0.0156"
"923","Bissau","Guinea-Bissau","620974","599714","0.0355"
"924","Bauchi","Nigeria","620800","597679","0.0387"
"925","Geneva","Switzerland","620131","613373","0.0110"
"926","Enshi","China","619178","586667","0.0554"
"927","Anshun","China","619116","600121","0.0317"
"928","Colombo","Sri Lanka","619001","612535","0.0106"
"929","Sihui","China","618859","591080","0.0470"
"930","Hanzhong","China","618109","605327","0.0211"
"931","Ujjain","India","617812","607055","0.0177"
"932","Gothenburg","Sweden","617781","610521","0.0119"
"933","Jinzhong","China","617236","599611","0.0294"
"934","Patiala","India","616590","599186","0.0290"
"935","Zahedan","Iran","616511","609873","0.0109"
"936","Bilaspur","India","616394","599812","0.0276"
"937","Louisville","United States","615924","616781","-0.0014"
"938","San Jose del Monte","Philippines","615815","607692","0.0134"
"939","Hillah","Iraq","615167","604149","0.0182"
"940","Kryvyi Rih","Ukraine","613696","618706","-0.0081"
"941","Yaroslavl","Russia","612502","612365","0.0002"
"942","Brighton","United Kingdom","612159","606909","0.0087"
"943","Feira De Santana","Brazil","609939","602128","0.0130"
"944","Vladivostok","Russia","609632","609754","-0.0002"
"945","Comilla","Bangladesh","609345","588772","0.0349"
"946","Tlaxcala","Mexico","606590","596362","0.0172"
"947","Siping","China","604724","594482","0.0172"
"948","Sanhe","China","604549","576241","0.0491"
"949","Calabar","Nigeria","604546","579273","0.0436"
"950","Mathura","India","603301","588334","0.0254"
"951","Abakaliki","Nigeria","601712","572028","0.0519"
"952","Xinmi","China","600980","575696","0.0439"
"953","Skopje","North Macedonia","600708","595275","0.0091"
"954","Makhachkala","Russia","600541","599792","0.0012"
"955","Tomsk","Russia","600254","595642","0.0077"
"956","Jingjiang","China","599221","577513","0.0376"
"957","Shishi","China","598547","585317","0.0226"
"958","Fuqing","China","597698","584631","0.0224"
"959","Sanliurfa","Turkey","596713","590522","0.0105"
"960","Leipzig","Germany","596230","591052","0.0088"
"961","Agartala","India","595210","575073","0.0350"
"962","Xiantao","China","594155","588540","0.0095"
"963","Yichun Heilongjiang","China","593871","598465","-0.0077"
"964","Imphal","India","593524","575625","0.0311"
"965","Daye","China","592972","578374","0.0252"
"966","Mbeya","Tanzania","592579","566065","0.0468"
"967","Cenxi","China","592553","565509","0.0478"
"968","Kingston","Jamaica","592477","590940","0.0026"
"969","Sangli","India","592117","583629","0.0145"
"970","Cuiaba","Brazil","591522","588566","0.0050"
"971","Samarkand","Uzbekistan","591252","578762","0.0216"
"972","Malaga","Spain","591091","590032","0.0018"
"973","Ibague","Colombia","590686","586187","0.0077"
"974","Dortmund","Germany","589748","589600","0.0003"
"975","Kagoshima","Japan","588413","591042","-0.0044"
"976","Cabimas","Venezuela","588348","578222","0.0175"
"977","Qitaihe","China","588212","578992","0.0159"
"978","Milwaukee","United States","587721","588939","-0.0021"
"979","Catania","Italy","586049","585877","0.0003"
"980","Samut Sakhon","Thailand","585964","578273","0.0133"
"981","Likasi","DR Congo","585678","567839","0.0314"
"982","Beira","Mozambique","584989","569911","0.0265"
"983","Hamadan","Iran","584645","577808","0.0118"
"984","Shuozhou","China","584272","563456","0.0369"
"985","Tonghua","China","584209","572967","0.0196"
"986","Djibouti","Djibouti","583695","576157","0.0131"
"987","Essen","Germany","581579","582128","-0.0009"
"988","Toulon","France","581264","579095","0.0037"
"989","Dresden","Germany","580877","575476","0.0094"
"990","Juiz De Fora","Brazil","580874","575481","0.0094"
"991","Bouake","Ivory Coast","580586","571876","0.0152"
"992","Pereira","Colombia","580225","579620","0.0010"
"993","Udaipur","India","580191","569224","0.0193"
"994","Sanmenxia","China","579273","561369","0.0319"
"995","Vellore","India","578956","569048","0.0174"
"996","Dongyang","China","578734","566083","0.0223"
"997","Ardabil","Iran","578222","567912","0.0182"
"998","Thoothukkudi","India","577945","560930","0.0303"
"999","Bloemfontein","South Africa","577560","567029","0.0186"
"1000","Xinyi","China","577474","559613","0.0319"
"1001","Udon Thani","Thailand","576666","570115","0.0115"
"1002","Ogbomosho","Nigeria","576557","551474","0.0455"
"1003","Jalgaon","India","576506","564540","0.0212"
"1004","Hebi","China","576427","565986","0.0184"
"1005","Zaoyang","China","576057","562379","0.0243"
"1006","Yiyang Hunan","China","576041","558615","0.0312"
"1007","Gaya","India","575652","565253","0.0184"
"1008","Baltimore","United States","575584","584537","-0.0153"
"1009","Yazd","Iran","575105","565449","0.0171"
"1010","Tirunelveli","India","574000","565735","0.0146"
"1011","Zhaodong","China","572358","550240","0.0402"
"1012","Dengfeng","China","571083","540789","0.0560"
"1013","Matamoros","Mexico","570752","562755","0.0142"
"1014","Kitchener","Canada","570681","562466","0.0146"
"1015","Poza Rica de Hidalgo","Mexico","570576","564578","0.0106"
"1016","Oujda","Morocco","570257","558524","0.0210"
"1017","Santa Fe","Argentina","569991","562917","0.0126"
"1018","Cuito","Angola","569533","535407","0.0637"
"1019","Orenburg","Russia","569029","568812","0.0004"
"1020","Cangzhou","China","568818","560962","0.0140"
"1021","Jiaozhou","China","568186","551500","0.0303"
"1022","Kemerovo","Russia","567035","565759","0.0023"
"1023","Bremen","Germany","566331","565354","0.0017"
"1024","Karbala","Iraq","565196","555073","0.0182"
"1025","Al-Mansurah","Egypt","565015","555621","0.0169"
"1026","Weinan","China","564709","553302","0.0206"
"1027","Anyang","South Korea","564685","567945","-0.0057"
"1028","Mazar-e Sharif","Afghanistan","563825","532689","0.0585"
"1029","Kota Kinabalu","Malaysia","562824","549586","0.0241"
"1030","Basel","Switzerland","562710","559027","0.0066"
"1031","Gomel","Belarus","562405","557589","0.0086"
"1032","Albuquerque","United States","562281","561397","0.0016"
"1033","Gaozhou","China","561197","537329","0.0444"
"1034","Feicheng","China","560756","551319","0.0171"
"1035","Meknes","Morocco","560746","553755","0.0126"
"1036","Panipat","India","559798","547952","0.0216"
"1037","Kahramanmaras","Turkey","559574","546688","0.0236"
"1038","Irbid","Jordan","559386","556899","0.0045"
"1039","Arak","Iran","559300","551006","0.0151"
"1040","Tepic","Mexico","558052","545941","0.0222"
"1041","Chiang Rai","Thailand","557280","549966","0.0133"
"1042","Guangyuan","China","557144","539179","0.0333"
"1043","Leicester","United Kingdom","556930","552178","0.0086"
"1044","Tongchuan","China","556484","546649","0.0180"
"1045","Khamis Mushayt","Saudi Arabia","555589","547724","0.0144"
"1046","Ndola","Zambia","555560","542495","0.0241"
"1047","Tucson","United States","554503","551288","0.0058"
"1048","Imus","Philippines","553579","527779","0.0489"
"1049","Villavicencio","Colombia","553451","544115","0.0172"
"1050","Sakarya","Turkey","553438","539445","0.0259"
"1051","Bamenda","Cameroon","553084","533257","0.0372"
"1052","Shouguang","China","552602","544207","0.0154"
"1053","Utrecht","Netherlands","551879","544389","0.0138"
"1054","Rajahmundry","India","551828","543729","0.0149"
"1055","Novokuznetsk","Russia","549364","550575","-0.0022"
